Date,returns,logs,Consumer Price Index,Long Interest Rate
2000-01-01,,7.262341042101594,168.8,6.66
2000-02-01,-0.02575775643768552,7.236245745861692,169.8,6.52
2000-03-01,0.03840532231238347,7.273931938309681,171.2,6.26
2000-04-01,0.013278232712295557,7.287122787968428,171.3,5.99
2000-05-01,-0.02934253024579836,7.257341154748733,171.5,6.44
2000-06-01,0.030652529468163214,7.2875332801543165,172.4,6.1
2000-07-01,0.007551506197160052,7.29505641646263,172.8,6.05
2000-08-01,0.008458927359131119,7.303479767579506,172.8,5.83
2000-09-01,-0.011720275200947872,7.291690268539938,173.7,5.8
2000-10-01,-0.05307039950955339,7.237159740477337,174.0,5.74
2000-11-01,-0.0087041592933087,7.22841747872851,174.1,5.72
2000-12-01,-0.03418623552291655,7.193633224976039,174.0,5.24
2001-01-01,0.003531365285927901,7.1971583696321515,175.1,5.16
2001-02-01,-0.02237146515127697,7.174532867316408,175.8,5.1
2001-03-01,-0.09182462186482876,7.078215096010903,176.2,4.89
2001-04-01,0.003364675127545569,7.0815741232843425,176.9,5.14
2001-05-01,0.0676813689235527,7.14706347560447,177.7,5.39
2001-06-01,-0.024921873155065,7.121825794507305,178.0,5.28
2001-07-01,-0.027657805297446547,7.0937783101929055,177.5,5.24
2001-08-01,-0.02154510357424555,7.071997722376186,177.5,4.97
2001-09-01,-0.11358506576156124,6.951427607438323,178.3,4.73
2001-10-01,0.030584699035074214,6.9815539175828825,177.7,4.57
2001-11-01,0.04931310898299279,7.029689685760997,177.4,4.65
2001-12-01,0.01349939805962741,7.043098778748318,176.7,5.09
2002-01-01,-0.004122522774318127,7.038967734950181,177.1,5.04
2002-02-01,-0.03467782250638041,7.003674364274973,177.8,4.91
2002-03-01,0.04826151344181251,7.050807454771883,178.8,5.28
2002-04-01,-0.0362804323143725,7.013852523188828,179.8,5.21
2002-05-01,-0.0293903393199213,6.984021634435587,179.8,5.16
2002-06-01,-0.06044012045401903,6.9216779078224935,179.9,4.93
2002-07-01,-0.10890317745212119,6.806375717688874,180.1,4.65
2002-08-01,0.009916001726446577,6.81624287847603,180.7,4.26
2002-09-01,-0.049027450550654716,6.765972796690344,181.0,3.87
2002-10-01,-0.015187656284209594,6.750668626736077,181.3,3.94
2002-11-01,0.06470636415758868,6.813367673475241,181.3,4.05
2002-12-01,-0.011814095589770646,6.8014832368991875,180.9,4.03
2003-01-01,-0.003714495429168685,6.797761825600583,181.7,4.05
2003-02-01,-0.06564788355063411,6.7298599121410625,183.1,3.9
2003-03-01,0.011469122970502843,6.741263763320079,184.2,3.81
2003-04-01,0.051262062530267105,6.791255170023256,183.8,3.96
2003-05-01,0.05160500207858165,6.8415727405216895,183.5,3.57
2003-06-01,0.05560066669515784,6.895682697747868,183.7,3.33
2003-07-01,0.00459514170040487,6.900267314016234,183.9,3.98
2003-08-01,-0.003032623370342713,6.897230082925626,184.6,4.45
2003-09-01,0.030226471152971612,6.927008735904024,185.2,4.27
2003-10-01,0.0189221533390882,6.945754092073348,185.0,4.29
2003-11-01,0.010753516313190215,6.956450200520895,184.5,4.3
2003-12-01,0.029278978950376233,6.985308737197203,184.3,4.27
2004-01-01,0.048008587503701294,7.0322005172454025,185.2,4.15
2004-02-01,0.00957157489492455,7.041726574835045,186.2,4.08
2004-03-01,-0.016950041981528052,7.024631236701023,187.4,3.83
2004-04-01,0.008345344223206652,7.032941951071096,188.0,4.35
2004-05-01,-0.026981718077221606,7.005589543330491,189.1,4.72
2004-06-01,0.027185839424001212,7.032412411581554,189.7,4.73
2004-07-01,-0.023756135456760585,7.008369549014731,189.4,4.5
2004-08-01,-0.015291404801736075,6.992960024996364,189.5,4.28
2004-09-01,0.02637427222803823,7.018992492972695,189.9,4.13
2004-10-01,-0.00040262691695147623,7.0185897849797625,190.9,4.1
2004-11-01,0.046302843690980255,7.063852634235259,191.0,4.19
2004-12-01,0.02589525553065175,7.0894182856462145,190.3,4.23
2005-01-01,-0.014843105044153981,7.074463919370915,190.7,4.22
2005-02-01,0.015422249684698741,7.089768454898263,191.8,4.17
2005-03-01,-0.003942882388736524,7.085817778855708,193.3,4.5
2005-04-01,-0.025500041844505827,7.059986975881723,194.6,4.34
2005-05-01,0.011894231512413755,7.071811026969199,194.4,4.14
2005-06-01,0.020343212139729117,7.091950080157772,194.5,4.0
2005-07-01,0.016627157413183546,7.108440519793049,195.4,4.18
2005-08-01,0.0016608849325827624,7.110100026981558,196.4,4.26
2005-09-01,0.0013477419196745721,7.111446861512285,198.8,4.2
2005-10-01,-0.027701644479248277,7.083354290015265,199.2,4.46
2005-11-01,0.038096916003892645,7.120743438419604,197.6,4.54
2005-12-01,0.019961692945521525,7.140508509074778,196.8,4.47
2006-01-01,0.013200535627976295,7.153622676869821,198.3,4.42
2006-02-01,-0.0016266139059848417,7.15199473859108,198.7,4.57
2006-03-01,0.013386597736262829,7.1652925275152075,199.8,4.72
2006-04-01,0.006515992394144243,7.171787382601583,201.5,4.99
2006-05-01,-0.009338258445517944,7.1624052492636565,202.5,5.11
2006-06-01,-0.0285579181556731,7.133431620074616,202.9,5.11
2006-07-01,0.005641692667395448,7.139057457997714,203.5,5.09
2006-08-01,0.02135307560464672,7.16018575092124,203.9,4.88
2006-09-01,0.02376568387522826,7.183673427013674,202.9,4.72
2006-10-01,0.03463505699151592,7.217722189611761,201.8,4.73
2006-11-01,0.01852748316683539,7.236080129895934,201.5,4.6
2006-12-01,0.020005184929139386,7.255887840443057,201.8,4.56
2007-01-01,0.005464480874316946,7.261337445210621,202.42,4.76
2007-02-01,0.014492753623188248,7.275726182662721,203.5,4.72
